date,time,open_price,high_price,low_price,close_price
2023-03-20,00:00:00,27546.62,27590.0,27528.57,27528.57
2023-03-20,00:01:00,27530.64,27557.0,27470.0,27505.6
2023-03-20,00:02:00,27507.9,27584.26,27500.49,27574.6
2023-03-20,00:03:00,27574.6,27641.99,27555.62,27627.85
2023-03-20,00:04:00,27627.86,27645.0,27597.83,27635.56
2023-03-20,00:05:00,27635.56,27670.0,27596.15,27599.3
2023-03-20,00:06:00,27601.96,27648.5,27594.08,27638.85
2023-03-20,00:07:00,27641.72,27646.82,27619.62,27638.23
2023-03-20,00:08:00,27639.41,27639.41,27594.86,27611.05
2023-03-20,00:09:00,27609.74,27614.07,27547.22,27559.55
2023-03-20,00:10:00,27557.78,27578.49,27513.61,27577.91
2023-03-20,00:11:00,27576.25,27606.23,27548.57,27548.9
2023-03-20,00:12:00,27548.9,27585.37,27532.17,27582.82
2023-03-20,00:13:00,27584.36,27592.83,27565.72,27576.83
2023-03-20,00:14:00,27576.83,27614.0,27521.95,27540.47
2023-03-20,00:15:00,27540.47,27574.96,27525.7,27537.5
2023-03-20,00:16:00,27537.51,27570.83,27526.22,27568.92
2023-03-20,00:17:00,27568.92,27579.45,27528.0,27574.57
2023-03-20,00:18:00,27574.57,27626.51,27569.82,27616.76
2023-03-20,00:19:00,27616.76,27655.61,27613.47,27627.33
2023-03-20,00:20:00,27629.83,27638.61,27588.24,27592.38
2023-03-20,00:21:00,27590.42,27630.45,27577.0,27619.49
2023-03-20,00:22:00,27620.85,27640.74,27601.63,27619.11
2023-03-20,00:23:00,27617.2,27640.0,27597.08,27628.63
2023-03-20,00:24:00,27626.65,27633.98,27604.57,27625.13
2023-03-20,00:25:00,27624.02,27646.8,27614.16,27631.48
2023-03-20,00:26:00,27629.5,27638.06,27603.44,27618.66
2023-03-20,00:27:00,27619.79,27619.79,27571.35,27602.68
2023-03-20,00:28:00,27600.35,27620.56,27586.44,27597.33
2023-03-20,00:29:00,27595.93,27610.23,27582.6,27607.88
2023-03-20,00:30:00,27607.88,27616.28,27574.08,27576.39
2023-03-20,00:31:00,27576.39,27601.0,27565.87,27597.98
2023-03-20,00:32:00,27597.98,27699.0,27596.04,27681.28
2023-03-20,00:33:00,27678.22,27866.0,27640.18,27851.32
2023-03-20,00:34:00,27846.6,27929.66,27765.24,27830.76
2023-03-20,00:35:00,27830.76,27880.8,27795.39,27838.18
